Osmanlıca,Türkçe,Ebced,Mağribi Ebced
محي الدين,Muhiddin,153,aynısı
محسن,Muhsin,158,398
محسنه,Muhsine,163,403
مختار,Muhtar,1241,aynısı
محترم,Muhterem,688,aynısı
محتشم,Muhteşem,788,1488
مقدّس,Mukaddes,204,444
مونسه,Munise,161,401
مراد,Murad,245,aynısı
مراديه,Muradiye,260,aynısı
مراد,Murat,245,aynısı
مرتضى,Murtaza,1441,731
موسى,Musa,107,347
مصطف,Mustafa,219,189
معتبر,Muteber,712,aynısı
موتلو,Mutlu,482,aynısı
متقی,Muttaki,550,aynısı
مظفر,Muzaffer,1220,1120
مبارك,Mübarek,263,aynısı
مبجّل,Mübeccel,75,aynısı
مبرّا,Müberra,243,aynısı
مبین,Mübin,102,aynısı
مجاهد,Mücahit,53,aynısı
مجلّا,Mücella,74,aynısı
مجوهر,Mücevher,254,aynısı
مُفیده,Müfide,139,aynısı
مُفید,Müfit,134,aynısı
موكه,Müge,71,aynısı
موژداد,Müjdat,62,aynısı
مژده,Müjde,56,aynısı
مژگان,Müjgan,118,aynısı
مُکَرم,Mükerrem,300,aynısı
ملایم,Mülayim,121,aynısı
ملهمه,Mülhime,120,aynısı
مؤمن,Mümin,137,aynısı
ممتاز,Mümtaz,488,aynısı
منور,Münevver,296,aynısı
مُنیب,Münip,102,aynısı
منير,Münir,300,aynısı
منيرة,Münire,305,aynısı
مُرسَل,Mürsel,330,570
مروّت,Mürüvvet,646,aynısı
